CMDLINE C:\Users\91833\AppData\Local\Programs\Python\Python310\python.exe memtest.py
MEM 275.171875 1691926369.2611
MEM 275.171875 1691926369.3718
MEM 275.843750 1691926369.4828
MEM 275.171875 1691926369.5928
MEM 237.648438 1691926369.7009
MEM 293.679688 1691926369.8091
MEM 283.175781 1691926369.9201
MEM 258.980469 1691926370.0319
MEM 283.175781 1691926370.1416
MEM 275.171875 1691926370.2428
MEM 283.175781 1691926370.3538
MEM 275.171875 1691926370.4642
MEM 294.191406 1691926370.5757
MEM 283.175781 1691926370.6865
MEM 252.882812 1691926370.7980
MEM 283.175781 1691926370.9095
MEM 275.171875 1691926371.0189
MEM 283.175781 1691926371.1299
MEM 275.171875 1691926371.2403
MEM 283.175781 1691926371.3473
MEM 283.175781 1691926371.4588
MEM 273.730469 1691926371.5696
MEM 283.175781 1691926371.6814
MEM 237.160156 1691926371.7927
MEM 283.175781 1691926371.9039
MEM 275.171875 1691926372.0143
MEM 283.175781 1691926372.1253
MEM 275.171875 1691926372.2355
MEM 250.484375 1691926372.3466
MEM 251.160156 1691926372.4579
MEM 264.933594 1691926372.5622
MEM 275.171875 1691926372.6741
MEM 267.167969 1691926372.7844
MEM 275.171875 1691926372.8967
MEM 267.167969 1691926373.0078
MEM 275.171875 1691926373.1179
MEM 261.648438 1691926373.2281
MEM 268.902344 1691926373.3394
MEM 275.171875 1691926373.4481
MEM 230.714844 1691926373.5585
MEM 275.171875 1691926373.6687
MEM 267.167969 1691926373.7803
MEM 275.171875 1691926373.8904
MEM 267.167969 1691926373.9980
MEM 283.378906 1691926374.1077
MEM 275.171875 1691926374.2191
MEM 229.375000 1691926374.3300
MEM 267.167969 1691926374.4408
MEM 267.167969 1691926374.5438
MEM 275.171875 1691926374.6551
MEM 267.167969 1691926374.7660
MEM 270.511719 1691926374.8763
MEM 275.171875 1691926374.9839
MEM 227.148438 1691926375.0902
MEM 276.234375 1691926375.1954
MEM 283.175781 1691926375.3058
MEM 237.156250 1691926375.4171
MEM 283.175781 1691926375.5200
MEM 275.171875 1691926375.6226
MEM 283.175781 1691926375.7335
MEM 283.175781 1691926375.8443
MEM 278.789062 1691926375.9551
MEM 283.175781 1691926376.0665
MEM 244.976562 1691926376.1782
MEM 283.175781 1691926376.2892
MEM 275.171875 1691926376.3999
MEM 283.175781 1691926376.5106
MEM 275.171875 1691926376.6142
MEM 293.007812 1691926376.7246
MEM 283.175781 1691926376.8348
MEM 244.652344 1691926376.9457
MEM 275.175781 1691926377.0566
MEM 275.171875 1691926377.1653
MEM 283.175781 1691926377.2763
MEM 275.171875 1691926377.3867
MEM 283.175781 1691926377.4974
MEM 283.175781 1691926377.6086
MEM 243.156250 1691926377.7128
MEM 243.160156 1691926377.8235
MEM 203.335938 1691926377.9287
MEM 195.562500 1691926378.0405
MEM 191.238281 1691926378.1499
MEM 12.269531 1691926378.2681
